Recency (in Hours),Frequency,Monetary(in Minutes),Time(in Weeks),Responded
682,2,22,4,1
96,1,45,1,1
23,3,27,7,1
418,3,24,7,0
372,13,5,2,0
187,14,16,4,0
118,12,38,10,1
12,3,28,6,1
186,2,1,8,0
508,8,5,3,1
688,18,20,8,0
54,12,46,5,0
596,7,56,4,0
360,19,11,5,1
571,16,41,3,0
115,3,29,1,1
562,4,57,10,0
262,17,16,4,0
125,5,53,3,0
356,16,12,4,1
427,3,34,6,1
704,10,44,2,0
518,1,30,1,0
262,18,55,7,0
189,18,55,1,1
576,4,47,3,1
311,14,17,9,1
386,15,38,1,0
452,10,8,1,1
341,2,35,1,1
472,16,46,10,0
155,12,41,1,1
76,3,55,6,0
209,2,23,5,0
108,18,29,4,1
655,13,33,9,0
689,1,50,9,1
114,11,17,2,0
612,13,19,8,1
531,13,45,1,0
465,11,20,4,0
79,18,8,9,1
585,14,7,9,1
679,3,46,9,1
246,10,17,2,1
372,4,18,3,1
40,13,27,10,1
85,5,41,1,1
544,6,21,1,1
318,3,30,2,1
595,15,53,10,1
219,6,28,7,1
545,6,8,3,0
106,17,13,10,0
64,16,15,6,0
302,16,60,5,1
267,10,45,10,0
437,13,40,5,1
98,5,49,2,0
448,12,54,4,1
672,11,31,7,0
571,4,11,4,0
247,14,19,4,1
446,11,30,10,1
40,11,53,9,0
400,2,23,3,1
629,8,59,8,1
148,12,4,1,0
146,2,46,2,0
427,15,47,6,0
291,13,41,4,1
27,17,20,4,0
376,3,33,10,1
344,17,19,3,1
244,5,48,1,0
224,18,49,3,0
259,2,28,10,1
689,14,43,10,1
102,11,52,5,0
562,13,48,4,0
180,12,10,9,1
443,7,55,9,1
326,3,45,9,0
197,8,28,3,1
183,14,28,5,1
216,10,34,3,0
322,4,11,9,1
710,11,38,7,1
657,17,22,5,0
424,20,56,2,1
582,12,26,10,0
716,15,39,6,0
591,2,49,5,1
547,19,49,10,1
611,10,17,4,1
187,17,34,10,0
188,11,53,10,0
637,13,23,7,0
465,1,30,10,1
54,19,39,2,1
219,8,51,3,1
230,6,19,5,1
393,20,3,7,0
218,4,57,6,0
674,8,15,3,0
134,19,10,10,1
701,4,22,9,0
381,16,38,9,1
549,16,26,4,1
476,6,58,10,0
675,15,42,9,0
149,20,35,4,1
104,7,23,10,0
516,19,7,9,0
17,4,51,5,1
80,12,56,2,1
376,8,35,6,1
302,4,46,6,1
631,7,8,2,0
339,20,41,6,1
250,11,47,5,1
276,8,57,2,1
677,2,2,7,1
242,10,46,1,1
102,3,22,8,1
554,10,21,1,0
355,1,32,10,1
617,13,12,2,1
270,1,24,4,1
627,18,49,7,0
347,15,4,2,0
578,7,11,2,1
36,15,20,5,1
39,19,1,7,1
456,5,49,10,0
704,19,50,1,1
685,16,16,9,0
139,13,38,7,0
27,18,21,3,0
688,11,13,3,1
415,17,1,6,0
72,2,34,7,1
314,1,57,8,1
318,8,8,10,1
56,4,31,6,0
313,18,44,6,0
295,7,41,3,1
186,1,31,5,0
296,9,32,7,0
237,4,36,1,1
90,5,24,3,0
503,18,49,5,1
563,19,7,1,1
352,6,30,3,0
49,9,15,7,0
459,13,28,10,1
