Recency (in Hours),Frequency,Monetary(in Minutes),Time(in Weeks),Responded
19,15,22,5,1
50,6,53,3,1
44,17,50,1,1
74,5,29,1,1
80,18,51,3,1
70,16,58,1,1
24,9,28,3,1
60,18,23,1,1
80,15,56,2,1
11,14,50,2,1
11,19,59,4,1
94,18,53,1,1
99,10,31,2,1
77,12,38,4,1
60,6,48,2,1
52,19,27,4,1
81,10,35,4,1
55,18,23,5,1
65,12,33,5,1
98,13,49,5,1
43,17,38,2,1
99,17,56,4,1
59,20,22,4,1
47,11,34,4,1
20,20,22,1,1
63,16,55,3,1
92,5,25,2,1
55,13,31,1,1
80,19,50,4,1
38,15,57,4,1
28,18,29,2,1
35,11,29,2,1
77,20,46,4,1
39,7,31,1,1
88,18,32,4,1
34,13,53,1,1
23,10,25,5,1
97,16,59,4,1
21,10,26,4,1
61,8,31,3,1
91,13,55,4,1
86,7,28,3,1
59,19,36,5,1
35,7,26,4,1
51,5,45,3,1
73,5,40,4,1
93,6,23,5,1
12,13,57,2,1
98,5,57,1,1
30,19,33,2,1
67,15,54,3,1
87,11,42,1,1
99,9,44,3,1
44,19,30,1,1
41,8,28,1,1
90,17,40,4,1
29,12,49,3,1
99,10,32,1,1
81,20,58,1,1
93,18,32,5,1
15,5,26,2,1
47,12,35,1,1
84,15,46,3,1
12,13,27,4,1
64,18,46,1,1
42,6,33,5,1
46,18,44,2,1
73,14,42,4,1
92,17,48,1,1
57,5,23,4,1
34,20,56,2,1
33,20,36,4,1
54,8,41,2,1
22,9,46,3,1
58,20,34,2,1
98,18,58,5,1
89,11,57,1,1
95,16,37,3,1
35,12,58,3,1
32,14,27,4,1
87,20,31,1,1
85,18,23,4,1
97,14,27,4,1
52,16,34,4,1
48,5,56,5,1
43,16,25,5,1
25,14,43,1,1
89,17,49,1,1
96,17,33,4,1
67,10,55,3,1
95,9,45,5,1
64,13,50,3,1
59,9,39,4,1
33,14,56,4,1
54,9,50,1,1
80,5,29,5,1
39,13,31,5,1
69,5,30,5,1
28,6,23,5,1
106,3,6,17,0
204,2,6,10,0
159,3,9,15,0
110,2,2,12,0
186,3,3,11,0
106,5,1,18,0
237,3,5,18,0
246,5,4,11,0
114,2,1,11,0
171,5,5,20,0
188,3,6,16,0
145,4,8,14,0
114,1,5,19,0
229,1,3,17,0
195,3,5,17,0
155,1,3,16,0
210,1,10,10,0
127,1,3,12,0
241,5,7,19,0
193,5,4,16,0
165,5,2,18,0
107,4,6,19,0
165,2,1,18,0
142,3,9,12,0
229,5,7,18,0
142,4,8,18,0
226,2,4,15,0
136,2,3,14,0
212,1,6,19,0
129,1,10,19,0
239,1,9,15,0
106,4,5,12,0
147,5,1,11,0
244,2,6,12,0
162,2,5,17,0
186,4,8,17,0
137,4,1,16,0
160,4,8,16,0
137,4,1,16,0
107,3,9,16,0
138,3,10,14,0
122,3,10,14,0
132,1,5,15,0
134,1,3,18,0
144,3,6,13,0
240,5,3,12,0
172,4,7,10,0
159,5,4,11,0
190,5,4,14,0
222,1,8,17,0
213,3,2,16,0
188,4,2,12,0
222,3,3,16,0
185,3,3,20,0
117,3,8,17,0
141,3,10,13,0
191,4,3,17,0
174,1,7,11,0
176,3,5,12,0
109,4,8,20,0
162,2,8,14,0
124,4,10,17,0
147,4,9,16,0
131,3,9,12,0
250,1,2,10,0
207,3,6,18,0
169,5,2,19,0
230,3,8,20,0
240,1,5,19,0
101,2,3,20,0
227,2,10,15,0
168,4,7,11,0
163,3,4,10,0
103,3,10,16,0
179,1,6,13,0
112,1,6,16,0
166,4,2,10,0
106,1,4,18,0
221,3,2,13,0
156,4,4,20,0
141,3,4,14,0
155,3,1,19,0
179,3,5,20,0
220,5,5,12,0
237,4,6,18,0
195,1,9,12,0
160,4,10,17,0
217,4,4,19,0
234,2,6,18,0
250,2,8,10,0
117,1,8,10,0
170,2,2,18,0
163,2,2,11,0
191,3,9,17,0
249,5,8,15,0
149,4,1,18,0
140,3,6,19,0
178,1,7,17,0
179,1,1,18,0
193,1,3,11,0
